Survived,Pclass,Embarked,Group_Size,AgeGroup_Sex
0,3,2,3,7
1,1,0,3,12
1,3,2,0,8
1,1,2,3,10
0,3,2,0,11
0,3,1,0,17
0,1,2,0,21
0,3,2,2,1
1,3,2,3,8
1,2,0,3,2
1,3,2,3,0
1,1,2,0,22
0,3,2,0,5
0,3,2,1,13
0,3,2,0,2
1,2,2,0,20
0,3,1,2,1
1,2,2,0,17
0,3,2,3,10
1,3,0,0,16
0,2,2,0,11
1,2,2,0,11
1,3,1,0,2
1,1,2,0,9
0,3,2,2,18
1,3,2,1,12
0,3,0,0,17
0,1,2,2,5
1,3,1,0,12
0,3,2,0,17
0,1,0,0,13
1,1,0,3,16
1,3,1,0,12
0,2,2,0,26
0,1,0,3,9
0,1,2,3,15
1,3,0,0,17
0,3,2,0,7
0,3,2,3,4
1,3,0,3,2
0,3,2,3,12
0,2,2,3,8
0,3,0,0,17
1,2,0,3,0
1,3,1,0,4
0,3,2,0,17
0,3,1,3,17
1,3,1,0,12
0,3,0,3,17
0,3,2,3,4
0,3,2,2,19
0,3,2,0,7
1,1,0,3,16
1,2,2,3,8
0,1,0,3,25
1,1,2,0,17
1,2,2,0,6
0,3,0,0,9
1,2,2,3,0
0,3,2,1,3
0,3,0,0,7
0,1,2,3,15
0,3,2,2,1
0,1,0,0,17
1,3,0,3,5
1,2,2,0,8
0,3,2,0,5
1,3,2,1,4
0,3,2,3,9
0,2,2,0,11
0,3,2,1,4
0,2,2,0,7
0,3,0,3,9
1,3,2,0,11
0,3,2,0,7
0,3,2,0,17
0,3,2,0,17
1,2,2,3,1
1,3,2,0,8
0,3,2,0,7
1,3,2,0,9
1,3,1,0,12
0,1,2,0,9
1,2,2,0,4
1,3,2,3,10
0,3,2,2,5
0,3,2,0,17
1,1,2,2,6
0,3,2,0,7
0,3,2,0,9
0,3,2,0,5
0,1,2,3,17
0,3,2,3,9
0,3,2,0,23
0,3,2,0,17
0,1,0,0,27
1,1,0,3,7
1,2,2,3,10
0,2,2,3,11
0,3,2,0,8
0,3,2,0,17
0,1,2,3,7
0,3,2,0,11
0,3,2,3,13
0,3,2,0,9
1,3,2,0,6
1,3,2,0,17
0,3,2,0,13
1,3,1,3,12
0,1,2,0,17
0,3,0,3,2
0,3,2,0,7
0,3,2,3,4
0,3,0,0,4
0,3,2,0,7
0,3,1,0,26
0,2,2,3,9
0,1,0,3,7
0,3,2,1,0
0,2,2,3,7
0,3,2,0,17
0,2,0,3,11
1,2,2,0,10
0,1,2,3,21
1,3,0,3,3
0,3,1,0,17
1,3,2,0,7
1,3,0,3,12
0,3,2,0,15
0,3,0,0,11
0,3,2,0,5
0,3,2,3,16
1,2,2,3,8
0,2,2,0,7
0,2,0,0,7
1,1,2,3,4
0,1,2,3,13
0,3,2,0,5
0,1,0,0,7
0,3,0,3,16
1,3,2,0,6
1,3,2,3,6
0,3,1,0,5
0,2,2,0,5
0,2,2,3,5
1,3,2,0,9
0,3,2,2,18
0,2,2,3,13
0,2,2,0,15
0,2,2,0,21
1,1,2,3,6
0,3,2,0,23
0,3,2,3,13
0,3,2,0,17
0,1,0,3,21
1,3,1,0,4
0,3,2,0,9
0,3,2,0,17
0,3,2,1,5
0,3,2,3,15
1,2,2,0,12
0,3,2,0,9
0,3,2,0,5
0,3,2,2,1
1,3,2,3,19
1,1,2,3,16
0,3,2,2,14
0,1,2,0,17
0,3,2,0,9
0,1,2,0,25
0,3,1,2,1
1,3,2,3,0
0,3,2,0,7
0,1,0,0,23
0,3,2,3,5
0,3,2,2,5
0,1,0,0,16
0,2,2,0,9
0,3,2,0,13
0,3,2,1,12
0,2,0,0,17
0,3,2,1,19
1,2,2,3,1
1,3,2,3,0
0,1,2,0,17
1,3,1,3,16
1,1,2,0,15
0,3,1,3,13
0,3,2,0,13
1,2,2,0,10
0,2,2,0,5
1,3,2,3,4
1,2,2,3,1
1,1,0,0,14
1,1,0,0,22
0,3,1,0,17
0,3,2,3,15
1,3,1,0,12
0,2,2,0,6
0,3,2,0,9
0,3,2,1,17
0,3,2,0,11
0,3,0,0,17
1,3,2,0,5
0,3,2,3,0
0,3,2,3,11
1,3,0,0,9
1,3,1,0,4
1,1,0,0,13
0,3,2,0,7
1,2,2,0,10
0,3,2,0,7
0,2,2,0,9
0,3,1,3,17
1,1,0,3,10
